BatchDate,Ticker
2026-09-14,AGCO
2026-09-14,AMLX
2026-09-14,AMR
2026-09-14,ATRC
2026-09-14,AVAH
2026-09-14,AVT
2026-09-14,BAND
2026-09-14,CBZ
2026-09-14,CNH
2026-09-14,CRGY
2026-09-14,CRM
2026-09-14,CVI
2026-09-14,CXW
2026-09-14,DBRG
2026-09-14,DELL
2026-09-14,DHT
2026-09-14,ECO
2026-09-14,FRO
2026-09-14,GTLB
2026-09-14,HPE
2026-09-14,HTFL
2026-09-14,INSP
2026-09-14,INSW
2026-09-14,IOVA
2026-09-14,KR
2026-09-14,MARA
2026-09-14,MRNA
2026-09-14,MTDR
2026-09-14,OHI
2026-09-14,PFG
2026-09-14,QRVO
2026-09-14,RBLX
2026-09-14,SIG
2026-09-14,SMMT
2026-09-14,SMTC
2026-09-14,SNOW
2026-09-14,SPSC
2026-09-14,STNG
2026-09-14,SWKS
2026-09-14,TNK
2026-09-14,VG
2026-09-14,VRNS
2026-09-14,XP
